id,statement,choices,correct_option,kai,kamoku,problem_no,theme,has_theme
h27a-kansa-12-a,"監査手続に関する出題である。
監査人は，実施した監査手続によって重要な訴訟事件が存在する可能性があると判断
 した場合には，法令等又は各法律専門家団体により顧問弁護士が監査人と直接コミュニ
 ケーションをすることが禁止されている場合を除き，顧問弁護士に対して経営者が作成
 した質問書を直接発送し，気付いているすべての訴訟事件等について，当該訴訟事件等
 の結果等に関する評価及び財務上の影響に関する見積りとともに，監査人に知らせるよ
 うに依頼しなければならない。","[""正"", ""誤""]",0,h27a,kansa,12,監査手続,true
h27a-kansa-12-i,"監査手続に関する出題である。
消極的確認から入手する監査証拠は，積極的確認から入手する監査証拠と比べ証明力
 が弱いため，監査人は，アサーション・レベルで評価した重要な虚偽表示リスクに対応
 するための単独の実証手続として，消極的確認を利用することはできない。","[""正"", ""誤""]",1,h27a,kansa,12,監査手続,true
h27a-kansa-12-u,"監査手続に関する出題である。
監査人のリスク評価が判断に基づくものであり重要な虚偽表示リスクのすべてを識別
 していない場合があること，及び内部統制には固有の限界があることにより，監査人は
 重要な取引種類，勘定残高，開示等の各々について，評価したアサーション・レベルの
 重要な虚偽表示リスクの程度にかかわらず，実証手続を立案し実施することが要求され
 ている。","[""正"", ""誤""]",0,h27a,kansa,12,監査手続,true
h27a-kansa-12-e,"監査手続に関する出題である。
詳細テストの実施に際して，テスト対象項目を抽出するために統計的サンプリング又
 は非統計的サンプリングのいずれの手法を用いるかは，監査人の判断により決定される
 が，著しく多くのサンプル数を抽出する必要がある場合には，統計的サンプリングの実
 施が要求されている。","[""正"", ""誤""]",1,h27a,kansa,12,監査手続,true
h27a-kansa-13-a,"上場企業の監査役等(監査役若しくは監査役会又は監査委員会)と監査人とのコミュニ ケーションに関する出題である。
監査人は，監査役等と有効なコミュニケーションをとることが必要とされているが，
 有効なコミュニケーションをとるために，監査役等と会う際には必ず経営者の同席を求
 める必要がある。","[""正"", ""誤""]",1,h27a,kansa,13,上場企業の監査役等(監査役若しくは監査役会又は監査委員会)と監査人とのコミュニ ケーション,true
h27a-kansa-13-i,"上場企業の監査役等(監査役若しくは監査役会又は監査委員会)と監査人とのコミュニ ケーションに関する出題である。
監査人は，監査人の独立性についての職業倫理に関する規定を遵守した旨につき，監
 査役等と書面によるコミュニケーションを行わなければならないが，監査役等の全員が
 当該事実を知っていることが明らかな場合には，独立性に関するコミュニケーションを
 行わなくてもよい。","[""正"", ""誤""]",0,h27a,kansa,13,上場企業の監査役等(監査役若しくは監査役会又は監査委員会)と監査人とのコミュニ ケーション,true
h27a-kansa-13-u,"上場企業の監査役等(監査役若しくは監査役会又は監査委員会)と監査人とのコミュニ ケーションに関する出題である。
監査人は，監査役等との間で行われる双方向のコミュニケーションが十分でなく，そ
 の状況が解消できない場合，監査報告書において監査範囲の制約に関する除外事項を付
 すことがある。","[""正"", ""誤""]",0,h27a,kansa,13,上場企業の監査役等(監査役若しくは監査役会又は監査委員会)と監査人とのコミュニ ケーション,true
h27a-kansa-13-e,"上場企業の監査役等(監査役若しくは監査役会又は監査委員会)と監査人とのコミュニ ケーションに関する出題である。
監査人は，財務諸表監査に関連する監査人の責任についての監査役等とのコミュニ ケーションにおいて，財務諸表監査は経営者又は監査役等の責任を代替するものではな いことについてまでも監査役等に伝達する必要はない。","[""正"", ""誤""]",1,h27a,kansa,13,上場企業の監査役等(監査役若しくは監査役会又は監査委員会)と監査人とのコミュニ ケーション,true
h27a-kansa-14-a,"経営者確認書に関する出題である。
経営者確認書は，財務諸表監査において必要な監査証拠であるため，経営者から特定
 のアサーションに関して信頼性のある経営者確認書を入手した場合，当該アサーション
 に関する監査手続の範囲を縮小することができる。","[""正"", ""誤""]",1,h27a,kansa,14,経営者確認書,true
h27a-kansa-14-i,"経営者確認書に関する出題である。
監査人は，財務諸表に対する最終的な責任を有し，確認事項についての知識を有する
 企業の最高経営責任者や最高財務責任者に対して経営者確認書を要請しなければならな
 いが，これらの役職名を使用していない企業についてはこれらに相当する役職者に対し
 て要請することができる。","[""正"", ""誤""]",0,h27a,kansa,14,経営者確認書,true
h27a-kansa-14-u,"経営者確認書に関する出題である。
監査人は，経営者確認書において確認を要請した事項について経営者によって変更が
 加えられている場合には，かかる変更を理由として当該確認を得られなかったものとし
 なければならない。","[""正"", ""誤""]",1,h27a,kansa,14,経営者確認書,true
h27a-kansa-14-e,"経営者確認書に関する出題である。
監査人は，経営者確認書が必要な監査証拠であるため，経営者確認書の日付より前に
 監査意見を表明することができず，その結果，通常，監査報告書の日付と経営者確認書
 の日付は同日とされている。","[""正"", ""誤""]",0,h27a,kansa,14,経営者確認書,true
h27a-kansa-15-a,"「監査基準」の「第四 報告基準」に関する出題である。
監査人は，無限定適正意見を表明する場合，経営者の作成した財務諸表が，一般に公
 正妥当と認められる企業会計の基準に準拠して，企業の財政状態，経営成績及びキャッ
 シュ・フローの状況をすべての重要な点において適正に表示している旨，及び財務諸表
 に重要な虚偽表示が存在しない旨の意見を表明しなければならない。","[""正"", ""誤""]",1,h27a,kansa,15,「監査基準」の「第四 報告基準」,true
h27a-kansa-15-i,"「監査基準」の「第四 報告基準」に関する出題である。
監査人は，無限定適正意見を表明するかどうかの判断に当たっては，採用された会計
 方針が一般に公正妥当と認められる企業会計の基準に準拠して継続的に適用されている
 ことを確かめることのみならず，その適用方法が会計事象を適切に反映するものである
 かどうかについても評価しなければならない。","[""正"", ""誤""]",0,h27a,kansa,15,「監査基準」の「第四 報告基準」,true
h27a-kansa-15-u,"「監査基準」の「第四 報告基準」に関する出題である。
監査人は，意見の表明に先立ち，自らの意見が一般に公正妥当と認められる監査の基 準に準拠して適切に形成されていることを確かめるため，意見表明に関する審査を受け なければならないが，上場企業以外の企業の監査では，品質管理の方針及び手続におい て，意見が適切に形成されていることを確認できる他の方法が定められている場合に は，かかる審査を受けなくても良い。","[""正"", ""誤""]",0,h27a,kansa,15,「監査基準」の「第四 報告基準」,true
h27a-kansa-15-e,"「監査基準」の「第四 報告基準」に関する出題である。
監査人は，重要な監査手続を実施できなかったことにより，自己の意見を形成するに
 足る基礎を得られないときは，財務諸表に及ぼす影響の重要性及び広範性の程度に応じ
 て，実施できなかった監査手続を除外事項とした限定付適正意見を表明するか，又は意
 見を表明してはならない。","[""正"", ""誤""]",1,h27a,kansa,15,「監査基準」の「第四 報告基準」,true
h27a-kansa-16-a,"被監査企業の売上が著しく減少し，重要な営業損失が発生しているため，継続企業とし ての存続に重要な疑義が生じている状況に関する出題である。
かかる重要な疑義に対し，監査人が要請しても経営者が継続企業の前提によって財務
 諸表を作成することができるかどうかを評価せず，また対応策も提示しない場合，監査
 人は，当該事項の重要性及び広範性の程度に応じ，限定付適正意見を表明するか又は意
 見を表明してはならない。","[""正"", ""誤""]",0,h27a,kansa,16,被監査企業の売上が著しく減少し，重要な営業損失が発生しているため，継続企業とし ての存続に重要な疑義が生じている状況,true
h27a-kansa-16-i,"被監査企業の売上が著しく減少し，重要な営業損失が発生しているため，継続企業とし ての存続に重要な疑義が生じている状況に関する出題である。
かかる重要な疑義に対し，経営者が金融機関からの借入等により対応しているため，
 継続企業の前提に関する重要な不確実性は認められず継続企業の前提により財務諸表を
 作成することは適切であると認められる場合，当該状況に関する注記が適切になされて
 いれば，監査人は，無限定適正意見を表明するとともに，当該事項について追記しなけ
 ればならない。","[""正"", ""誤""]",1,h27a,kansa,16,被監査企業の売上が著しく減少し，重要な営業損失が発生しているため，継続企業とし ての存続に重要な疑義が生じている状況,true
h27a-kansa-16-u,"被監査企業の売上が著しく減少し，重要な営業損失が発生しているため，継続企業とし ての存続に重要な疑義が生じている状況に関する出題である。
かかる重要な疑義に対し，経営者が金融機関からの借入等により対応しているため，
 継続企業の前提に関する重要な不確実性は認められず継続企業の前提により財務諸表を
 作成することは適切であると認められる場合，当該状況に関する注記がなされていない
 ならば，監査人は，注記がなされていないことを除外事項とし，当該事項の重要性及び
 広範性の程度に応じ，限定付適正意見又は不適正意見を表明しなければならない。","[""正"", ""誤""]",1,h27a,kansa,16,被監査企業の売上が著しく減少し，重要な営業損失が発生しているため，継続企業とし ての存続に重要な疑義が生じている状況,true
h27a-kansa-16-e,"被監査企業の売上が著しく減少し，重要な営業損失が発生しているため，継続企業とし ての存続に重要な疑義が生じている状況に関する出題である。
かかる重要な疑義に対し，経営者が実施した金融機関からの借入等の対応策を勘案し
 てもなお継続企業の前提に関する重要な不確実性は残るとはいえ，継続企業の前提によ
 り財務諸表を作成することは適切である場合，当該状況に関する注記が適切であれば，
 監査人は，無限定適正意見を表明するとともに，当該事項について追記しなければなら
 ない。","[""正"", ""誤""]",0,h27a,kansa,16,被監査企業の売上が著しく減少し，重要な営業損失が発生しているため，継続企業とし ての存続に重要な疑義が生じている状況,true
h27a-kansa-17-a,意見表明,"[""正"", ""誤""]",1,h27a,kansa,17,"",false
h27a-kansa-17-i,監査計画,"[""正"", ""誤""]",0,h27a,kansa,17,"",false
h27a-kansa-17-u,監査証拠,"[""正"", ""誤""]",1,h27a,kansa,17,"",false
h27a-kansa-17-e,"監査手続
オ.監査の基準
カ.内部統制","[""正"", ""誤""]",1,h27a,kansa,17,"",false
h27a-kansa-18-a,"「監査における不正リスク対応基準」に関する出題である。
本基準は，金融商品取引法に基づいて開示を行っている企業の監査を対象としている が，非上場企業のうち資本金 5 億円未満又は売上高 10 億円未満かつ負債総額 200 億円 未満の企業の監査は対象の範囲外としている。","[""正"", ""誤""]",0,h27a,kansa,18,「監査における不正リスク対応基準」,true
h27a-kansa-18-i,"「監査における不正リスク対応基準」に関する出題である。
本基準は，不正について，不当又は違法な利益を得る等のために，他者を欺く行為を
 伴う，経営者，従業員等又は第三者による意図的な行為と説明しており，重要な虚偽の
 表示とは関係のない不正を対象とした監査手続も含まれている。","[""正"", ""誤""]",1,h27a,kansa,18,「監査における不正リスク対応基準」,true
h27a-kansa-18-u,"「監査における不正リスク対応基準」に関する出題である。
監査人は，財務諸表全体に関連する不正リスクが識別された場合には，実施する監査
 手続の種類，時期及び範囲の選択に当たり，往査先の選択方法を変更することや予告な
 しに往査することを含め，企業が想定しない要素を監査計画に組み込むことが必要とな
 る。","[""正"", ""誤""]",0,h27a,kansa,18,「監査における不正リスク対応基準」,true
h27a-kansa-18-e,"「監査における不正リスク対応基準」に関する出題である。
本基準は，循環取引のように被監査企業と取引先企業の通謀が疑われる場合には，取
 引先企業の監査人との連携が一つの有効な監査手続として認められることから，かかる
 連携に関する具体的な監査手続を示している。","[""正"", ""誤""]",1,h27a,kansa,18,「監査における不正リスク対応基準」,true
h27b-kansa-1-a,"二重責任の原則に関する出題である。
監査人は，被監査会社の財務情報システムの整備及び管理業務を受託したとしても，
 そのこと自体は経営者の責任である財務諸表の作成に直接関与したことにはならないた
 め，二重責任の原則には抵触しない。","[""正"", ""誤""]",1,h27b,kansa,1,二重責任の原則,true
h27b-kansa-1-i,"二重責任の原則に関する出題である。
監査人は，監査実施中に不適切な会計処理を発見した場合，当該会計処理を修正する
 ように経営者に指導し，経営者がそれを受け入れて修正したとしても，受け入れると判
 断したのは経営者であるため，財務諸表の作成に直接関与したことにはならず，二重責
 任の原則には抵触しない。","[""正"", ""誤""]",0,h27b,kansa,1,二重責任の原則,true
h27b-kansa-1-u,"二重責任の原則に関する出題である。
監査人は，監査報告書において，財務諸表の適正表示に関する意見を表明することに
 加え，係争中の重要な訴訟が存在し，当該訴訟の最終結果は不確実である旨の強調事項
 を記載した場合であっても，二重責任の原則には抵触しない。","[""正"", ""誤""]",0,h27b,kansa,1,二重責任の原則,true
h27b-kansa-1-e,"二重責任の原則に関する出題である。
監査人は，監査報告書において，無限定適正意見を表明する場合には，財務諸表の作
 成に対する経営者の責任と当該財務諸表に対する意見を表明する監査人の責任について
 の記載を行うが，不適正意見を表明する場合には，経営者が財務諸表に対する作成責任
 を果たしたとはいえないので，財務諸表の作成責任についての記載は行わない。","[""正"", ""誤""]",1,h27b,kansa,1,二重責任の原則,true
h27b-kansa-2-a,下線Aを達成するための一つの手段として，日本公認会計士協会が実施する継続的専 門研修 (CPE) 制度が該当するが，この制度は同協会の自主規制として会員に対して CPE の履修を義務化するものであり，法令によって義務づけられているわけではない。,"[""正"", ""誤""]",1,h27b,kansa,2,"",false
