hanyu,pinyin,日本語,correct,hsk_level,explanation,w1,w2,w3,zero_based_correct_number,
猫,mao1,猫,猫,1,"《狗》(gou3)が、イヌ。
《猫》(mao1)が、ネコ。
《熊猫》(xióng māo)が、パンダ。
《大熊猫》(dà xióng māo)が、ジャイアント・パンダ。
(パンダはより上級の単語です。HSK3級)",イヌ,パンダ,鳥,3,
没,mei2,ではありません,ではありません,1,単体だと2声で、疑問形みたいに聞こえる,〜する予定,〜しなければならない,〜ほど,2,
没关系,mei2 guan1 xi5,気にしないで,大丈夫！、どういたしまして,1,"「《关系》」は「関係」の簡体字。
直訳の「関係ない」という意味もある。",ごめんなさい、大変申し訳ございません,おはよう、元気にしてますか,閉じる,1,
米饭,mi3 fan4,米,米,1,,麺麭(パン),拉麺(ラーメン),お昼ごはん,1,
明天,ming2 tian1,明日,明日,1,,来年,去年,昨日,0,
名字,ming2 zi5,名前,名前,1,人の名前以外にも、一般的な名前として使う。,名字(みょうじ),茗荷(みょうが),名作,3,
哪,na3,どの,どの,1,,あれ,これ,それ,2,
哪儿,na3 r5,どこ,どこ,1,"《这是你打爸爸。》この人が、あたなの父です。
《谁是你打爸爸？》 あなたの父は誰ですか。

《多少钱》(duo1 shao3 qian2) 値段はいくら How much
《什么》(shen2 me5) 何 What
《哪儿》(na3 r5) どこで Where
《谁》(shei2) 誰 Who",あそこ,ここ,それ,0,
那,na4,その,その,1,,しかし,どの,どなた,3,
那儿,na4 r5,そこ,そこ,1,"《那儿》(na4 r5) あそこ
《哪儿》(na3 r5) どこ",どこ,まれ,那覇,1,
呢,ne5,疑問を表す,疑問を表す,1,,泥(どろ),甘い,猫,1,
能,neng2,できる,〜できる,1,【助動詞】〜できる,熊(クマ),パンダ,〜でしょう,0,
你,ni3,あなた,あなた,1,,わたし,彼ら,ドイツ,1,
年,nian2,年,年,1,,人間,あなた,わたし,0,
女儿,nv3 er2,娘,娘,1,"息子は、《儿子》(er zi)。
娘は、《女儿》(nv3 er2)

《儿》(er2)は、児童の簡体字。繁体字だと、兒。
《几》(ji)ではなく、《儿》(er2)なので注意。",息子,子どもたち,母親,2,
朋友,peng2 you5,友人,友達、友人,1,《女朋友》・《男朋友》で、それぞれ恋人としての彼女・彼氏の意味になる。,息子,母,崩落,0,
漂亮,piao4 liang5,美しい,美しい,1,"《漂》(piao4)は、漂白剤の漂(ヒョウ)の字と同じ。
《漂》は、単体では「漂う」「浮かぶ」等の意味。

《亮》(liang5)は、「明るい、明るくする、明るくなる」等の意味。",汚い,かわいい、愛らしい,漂う,0,
苹果,ping2 guo3,リンゴ,リンゴ,1,"《苹》(ping2)は、《平》(ping2)と同じ音。
《平时》(ping2 shi2)の《平》.",バナナ,ジュース,果物,0,
七,qi1,七,7,1,,8,9,10,1,
钱,qian2,お金,お金,1,《钱》は、銭の簡体字ですね。,遅延,しかし,それこそ,3,
前面,qian2 mian4,前,前,1,,七,お金,〜してください,2,
请,qing3,してください,～してください,1,,～できる,〜でしょ,忘れない,0,
去,qu4,行く,行く,1,,帰り道,去年,昨日,0,
热,re4,熱い,熱い、温める,1,,燃やす、焚き火,熱帯夜,煮詰める、考え抜く,2,
人,ren2,人々,人、人間、人々,1,,連絡,知っている,知らない,1,
认识,ren4 shi5,知っている,知っている,1,"《认识》は、それぞれ認識の簡体字

【ren】
《人》(ren2) 数人の人(ニン)
《认》(ren4) 認識の認(ニン)
どちらも、「人」の字が使われ、「ニン」と読む。",知らない,連絡,人,3,
日,ri4,日,日,1,,知らない,人,利用する,1,
三,san1,三つ,3,1,,1,2,0,2,
商店,shang1 dian4,ショップ,お店、ショップ,1,,シャンデリア,午前,午後,2,
上,shang4,上の,上の,1,,下の,中,右,0,
上午,shang4 wu3,朝,午前,1,"《上午》(shang wu3) 午前
《中午》(zhong wu3) (12時前後の)お昼
《下午》(xia4 wu3) 午後",午後,正午,馬に乗る,1,
少,shao3,少ない,少ない,1,"《大》 da4
《小》 xiao3
《少》 shao3
《多》 duo1",近い,短い,長い,0,
谁,shei2,誰,誰,1,"《这是你打爸爸。》この人が、あたなの父です。
《谁是你打爸爸？》 あなたの父は誰ですか。

《什么》(shen2 me5) 何 What
《哪儿》(na3 r5) どこで Where
《谁》(shei2) 誰 Who",これ,あれ,不思議,1,
什么,shen2 me5,何,何,1,,誰,どこ,なぜ,3,
十,shi2,十,10,1,,1,100,1000,0,
时候,shi2 hou5,～の時,～の時,1,《时》は、時の簡体字ですね。,リミット,置き時計,腕時計,0,
是,shi4,～である,～である,1,,けれども,それにしても,十,1,
书,shu1,本,本,1,《那本书》(na4 ben3 shu1) あの本(that book),巻物,事,時間,3,
水,shui3,水,水,1,《水果》(shui3 guo3)で、果物の意味です。,眠る,起きる,お湯,0,
水果,shui3 guo3,フルーツ,フルーツ,1,《一些水果》(some fruits),リンゴ,ネコ,イヌ,2,
睡,shui4,,寝る,1,,起き上がる,目が覚める,覚醒する,3,
睡觉,shui4 jiao4,寝る,寝る,1,"「覚醒する」の「覚」の字があるが、「眠る」の意味なので注意。

離合詞(離合動詞)

【jiao】
《觉》(jiao4) 覚悟の覚(カク)
《叫》(jiao4) 絶叫の叫(キョウ)",起き上がる,目が覚める,覚醒する,0,
说,shuo1,,話す,,,説教する,生活する,戦う,3,
说话,shuo1 hua4,話します,話す,1,"《说话(的)人》 話している人、発言者
※《的》はあってもなくてもいい",説教する,生活する,戦う,3,
四,si4,四,4,1,,1,2,3,2,
岁,sui4,歳,歳,1,,夕日,山,水,3,
他,ta1,彼,彼,1,,その他,他人,人間,0,
她,ta1,彼女,彼女,1,,天女,人間,彼,1,
太,tai4,かなり,かなり,1,,太っている,脂肪,大人,3,
天气,tian1 qi4,天気,天気,1,,天罰,天界,機関車,1,
听,ting1,聞く,聞く,1,"《听》は、「聴」の簡体字です。
耳偏が口偏になっていて、元の字の名残がない感じがしますね。",祈る,ささやく,話す,2,
听说,ting1 shuo1,,聞くところによると,1,"《听》は、「聴」の簡体字です。
耳偏が口偏になっていて、元の字の名残がない感じがしますね。",祈る,ささやく,話す,2,
同学,tong2 xue2,同級生,生徒さん、同級生,1,中国語の場合、生徒同士や先生が呼びかけに使う。,同窓会,学校,学ぶ,2,
喂,wei4,もしもし,もしもし,1,,しかし,したがって,それこそ,3,
我,wo3,私,私,1,,彼,私達,彼女,0,
我们,wo3 men5,私たち,私たち,1,《们》が、複数を表す「達」の意味です。,私,彼,彼ら,3,
五,wu3,五,5,1,"《星期一》が、月曜日。
《星期五》で、金曜日。
《星期六》で、土曜日。
《星期天・星期日》が、日曜日。",2,3,4,0,
喜欢,xi3 huan5,好き,好き,1,"《欢》は、歓声・歓迎の歓の簡体字。
歓迎するは、《欢迎》(huan1 ying2)。",歓迎する,応援する,ボランティア,1,
下,xia4,下,下,1,,上,右,左,0,
下午,xia4 wu3,午後,午後,1,"《上午》(shang wu3) 午前
《中午》(zhong wu3) (12時前後の)お昼
《下午》(xia4 wu3) 午後",午前,正午,深夜,0,
下雨,xia4 yu3,雨が降る,雨が降る,1,"【例文】
《今天没下雨。》今日は、雨が降らなかった。
「《今天》(jing1 tian1)」が、今日。
「《没》(mei2)」が「〜しなかった」という過去の否定。",雨が上がる,雨の中を歩く,雨宿りする,0,
先生,xian1 sheng5,さん,さん,1,,お医者さん,教師,先手,0,
现在,xian4 zai4,今,今,1,シエンザイ,昨日,明日,今年,1,
想,xiang3,したい,〜したい,1,,恋い焦がれる,熱中する,探す,3,
小,xiao3,小さな,小さな,1,"《大》 da4
《小》 xiao3
《少》 shao3
《多》 duo1",大きい,短い,高い,3,
小姐,xiao3 jie5,若い女性,お嬢さん、娘さん,1,呼びかけにも使われます,おばあさん,おばさん,祖母,3,
些,xie1,一部,一部,1,"【基本的な量詞】
《个》 (ge)：様々なもの、個
《岁》 (suì)：年齢、歳
《本》 (běn)：本、冊
《些》 (xiē)：数の定まらないもの
《块》 (kuài)：塊やお金、かたまり
《分钟》 (fēn zhōng)：時間、〜分間",仕方ない,写す,感謝する,1,
写,xie3,書く,書く,1,,一部,謝る,感謝する,2,
谢谢,xie4 xie5,ありがとう,ありがとう,1,"シエシエ
《谢谢你》もありがとう(Thank you)です。",一部,書く,写す,1,
星期,xing1 qi1,週,曜日、週,1,"シンチー
《星期一》が、月曜日。
《星期六》が、土曜日。
《星期天》・《星期日》が、日曜日。
《星期几》が、何曜日。

《上(个)星期》 先週
《这(个)星期》 今週
《下(个)星期》 来週",天体,天気,夜,2,
学生,xue2 sheng5,学生,学生,1,,大学,小学校,学ぶ,1,
大学生,da1 xue2 sheng5,,大学生,1,,みなさん,中学生,大人,0,
学习,xue2 xi2,ラーニング,学習する、学ぶ,1,《习》は、習の簡体字。習の一部ですね。,学生,戦う,生きる,3,
学校,xue2 xiao4,学校,学校,1,,学生,校則,小学生,0,
一,yi1,一,1,1,イー,2,3,4,3,
一月一号,yi1 yue4 yi1 hao4,,1月1日,1,"どちらも一は声調変化せず1声のまま。
文章では《一月一日》と書き、口語では《一月一号》と書きます。",2月,3月,4月,1,
衣服,yi1 fu5,服,服,1,"イーフ
《这件衣服》 この服",医者,病院,医療,0,
医生,yi1 sheng1,先生,医者、お医者さん,1,"お医者さんの先生です。
《李医生》で、李先生。",教師、(学校の)先生,病院,正月,3,
医院,yi1 yuan4,病院,病院,1,,お医者さん,人間,学校,1,
椅子,yi3 zi5,椅子,椅子,1,,テーブル,デスク,子供,0,
有,you3,持っている,持っている,1,,ない,買う,もしもし,2,
月,yue4,月,月,1,"天体の月ではなく、暦の月として出題される。
《几月几号？》 何月何日ですか。
《一个月》 一ヶ月の間(HSK3級？)",太陽,日,秒,0,
在,zai4,どこどこで,存在している,1,《A 存 B。》 BにAはある。,国内,国外,またね,1,
再见,zai4 jian4,さようなら,さようなら,1,,話す,ささやく,〜と申します,1,
怎么,zen3 me5,どのように,どのように,1,"《你怎么还在睡觉。》どうしてまだ寝てますか？

How
怎么用 どうやって使うの？",何,全力,逃げる,0,
怎么样,zen3 me5 yang4,どうですか？,どうですか？、どうかな？、～どう？(提案),1,,どれ,全力,逃げる,1,
这,zhe4,これ,これ,1,,したがって,どれ,どこ,1,
这儿,zhe4 r5,ここに,ここに,1,,この,イス,机,0,
中国,Zhong1 guo2,中国,中国,1,,日本,第三勢力,間,1,
中午,zhong1 wu3,正午,(12時前後の)お昼,1,,午前,午後,イス,2,
住,zhu4,住んでいる,住んでいる,2,,イス,机,長い,1,
桌子,zhuo1 zi5,机,机,2,《椅子》(yi3 zi5),イス,短い,ネコ,3,
字,zi4,字,字,2,発音は「ズ」に近い,書く,聴く,子供,0,
昨天,zuo2 tian1,昨日,昨日,2,"今日は、《今天》(jin tian)。
明日は、《明天》(ming tian)。
今(コン)や天(テン)と「ン」で終わるものは中国語のピンインも「n」で終わる傾向があります。
明(メイ)のように「ン」で終わらないものは、「ng」で終わる傾向があります。",明日,今日,昨年・去年,3,
坐,zuo4,座る,座る、(乗り物に)乗る,2,,逃げる,飛ぶ,行く,3,
做,zuo4,する,する,2,《做饭》(zuo4 fan4) 料理を作る,怖い,戦う,笑う,1,
吧,ba5,でしょ？,でしょ？,2,,母,それこそ,父親,2,
白,bai2,白,白,2,"《百》はbai3, 《白》はbai2、声調違いですね。",百,黒,千,0,
百,bai3,百,百,2,"《百》はbai3, 《白》はbai2、声調違いですね。

《百》 bai3
《千》 qian1
《万》 wan3",白,黒,万,3,
帮助,bang1 zhu4,助ける,助ける,2,,禁止する,彼ら,タクシー,0,
报纸,bao4 zhi3,新聞,新聞,2,"《报(bao4)》は、報告の報。
中国語で「《新闻》」(xīnwén)というと、「(新聞やテレビ等で報道される)ニュース」の意味です。

【baoは、ホウ】
《包》(bao1) 包む、包装の包(ホウ)
《饱》(bao3) 満腹だ、飽和の飽(ホウ)
《报》(bao4) 知らせる、報告の報(ホウ)",ニュース,マスコミ,赤ちゃん,2,
比,bi3,比較して,比べる、【前置詞】〜より、〜比べて,2,,【前置詞】に〜(対して),【前置詞】〜に・〜へ、〜まで,強い,1,
别,bie2,しないでください,【助動詞】〜しないで,2,,【助動詞】〜しろ・〜して,けれど,分かれ道,1,
长,chang2,長い,長い,2,"《长》は、chang2とzhang2の読みがある。
chang2は、長いなどの意味。
zhang2は、成長する、年上、リーダーなどの意味。

【chang】
《长》(chang2) 長(チョウ)
《常》(chang2) 常(ジョウ)
《场》(chang3) 場外の場(ジョウ)
《唱》(chang4) 歌唱力の唱(ショウ)",短い,飛ぶ,歌う,0,
唱歌,chang4 ge1,歌を歌う,歌を歌う,2,離合詞(離合動詞),長い,短い,着る・穿く,3,
出,chu1,出る,出る,2,,キスする,噛む,噛み砕く,3,
穿,chuan1,着る,着る・穿く・履く,2,"日本語では「セーターを着る」「ズボンを穿く(はく)」「靴を履く(はく)」のように
上半身・下半身・足で動詞を使い分けますが、
中国語ではこの3つはどれも《穿》(chuan1)を使います。

なお、日本語で「穿く」は常用外漢字であるため、「はく」と平仮名による表記が一般的です。",キスする,船,電車,0,
船,chuan2,ボート,船(ふね),2,"【乗り物】
《出租车》(chu1 zu1 che1) タクシー
《火车》(huo3 che1) 列車、電車
《自行车》(zi4 xing2 che1) 自転車
《飞机》(fei1 ji1) 飛行機
《船》(chuan2) ボート",電車,飛行機,タクシー,2,
次,ci4,次,【量詞】回、度,2,"ズ。
《字》(zi)はズ、《次》(ci4)はツの発音に近いです。ジやキなどではないです。",字,子供,大家,3,
这次,zhe4 ci4,,今回は、この度は,2,,この次は,この次に,前回は,1,
从,cong2,から,【前置詞】から,2,,【前置詞】に〜(対して),【前置詞】〜に・〜へ、〜まで,大勢の人々,1,
错,cuo4,間違う,間違う,2,"《我错了》 私が間違っていました

《写错》(xie3 cuo4) 書き間違える",正しい,怒る,太る,3,
不错,bu2 cuo4,,いいね,2,"《没错》と《不错》は、字面は似てるが、違う言葉。

《不错》は、直訳すると「悪くない」だが、「いいね！(Good!)」ともっと褒めてる感じの言葉。
ラフな言葉なので、目上の人などに使わないようにする。

《没错》は、返事で「そうです(Yes!)」と肯定したりする感じ。",そうです、その通り,悪くはない,間違っている,0,
没错,mei2 cuo4,,そうです、その通り,2,"《没错》と《不错》は、字面は似てるが、違う言葉。

《不错》は、直訳すると「悪くない」だが、「いいね！(Good!)」ともっと褒めてる感じの言葉。
ラフな言葉なので、目上の人などに使わないようにする。

《没错》は、返事で「そうです(Yes!)」と肯定したりする感じ。",いいね,悪くはない,間違っている,2,
好吧,hao3 ba,,(喜んで)いいよ、(仕方ないから)いいよ,2,必ずしも、喜んで許諾するとは限らず、選択肢がない場合にも使う。,悪くない,そうです,間違っている,3,
打篮球,da3 lan2 qiu2,バスケットボールをする,バスケットボールをする,2,"《打电话》(電話する)のように、《打》は「する」を意味する多機能な動詞です。
中国はバスケが盛んです。「《篮》」は、ゴールの「籃(かご)」のことと覚えましょう。

「サッカーをする」は「《踢足球》」となります。足を使うので、動詞は「《打》」ではなく「《踢》(ti1)」を使います。

2級ででないかもしれませんが、
「バレーボールをする」は「《打排球》(dǎ pái qiú)」です。バレーは日本語でも漢字で書くと排球と書きます。『ハイキュー！』という漫画は、バレーをするジャンプの漫画です。",バレーボールをする,サッカーをする,卓球をする。,0,
大家,da4 jia1,みんな,みんな,2,日本語の「大家(おおや)」とは違うので、注意しましょう。,彼ら,彼,大家(おおや),2,
但是,dan4 shi4,しかし,しかし,2,,したがって,なぜなら,また,0,
到,dao4,へ,やってくる、【前置詞】〜に・〜へ、〜まで,2,「夏天到了」(夏がやってきた)のように、人や物だけでなく季節の到来にも使われます。,【前置詞】に〜(対して),なぜならば,まったく,2,
得,de5,得ます,得る,2,,の,特別な,とりわけ,3,
等,deng3,待って,待つ,2,,【結果補語】〜してわかる,兄弟,等しい,3,
弟弟,di4 di5,弟,弟,2,,兄,姉,妹,1,
第一,di4 yi1,最初の,最初の,2,,しかし,弟,好き,2,
电影票,dian4 ying3 piao,,映画のチケット,2,"《电影》が、映画(えいが)
《票》が、チケット。",映画のスケジュール,電車のチケット,電車の時刻表,1,
懂,dong3,分かった,わかる・【結果補語】〜してわかる,2,《懂》(dong3)は、「《憧》(chōng)」「憧れる(あこがれる)」という漢字とは異なるので注意。,決して,対して,笑う,3,
对,dui4,へ,【前置詞】に〜(対して),2,,【前置詞】〜に・〜へ、〜まで,とりわけ,友達,3,
房间,fang2 jian1,部屋,部屋,2,《房》に、「家」や「部屋」の意味がある。,ホテル,列車,タクシー,3,
非常,fei1 chang2,非常に,非常に,2,"【fei】
《非》(fei1) 非凡の非(匕)
《飞》(fei1) 飛翔の飛(匕)

【chang】
《长》(chang2) 長(チョウ)
《常》(chang2) 常(ジョウ)
《场》(chang3) 場外の場(ジョウ)
《唱》(chang4) 歌唱力の唱(ショウ)",ふつうに,飛行機,空港,3,
服务员,fu2 wu4 yuan2,店員,店員、従業員,2,"《务》は、勤務の「務」の簡体字。
「《服务》(fu2 wu4)」単体は、「働く」「奉仕する」という意味の動詞。 

《服务员》は、店員さんを呼びかけるときにも使える。
日本だったら「すみません」と呼ぶところで、「服务员」と。",公務員,先生,医者,2,
高,gao1,高い,高い,2,"《短》(duan)

《高兴》(gao1 xing4)

高

値段が高いことは、《贵》(gui4)を用います。",低い,短い,笑う,1,
告诉,gao4 su5,伝える,伝える(tell),2,字面を見ると「告訴(こくそ)」ですが、そのような意味はないし、そのような難しい言葉はHSK2級にでません。,話す、講義する,訴え、告訴,訴える、告訴する,2,
哥哥,ge1 ge5,兄,兄,2,,弟,空,海,2,
给,gei3,へ,与える・へ,2,,けれど,生きる,希望,1,
公共汽车,gong1 gong4 qi4 che1,バス,バス,2,"【乗り物】
《火车》(huo3 che1) 電車
《汽车》(qi4 che1) 自動車
《公共汽车》(gong1 gong4 qi4 che1) バス
《出租车》(chū zū chē) タクシー

【qiは、キ読みが多い】
《七》(qi1) 七(シチ)
《期》(qi1) 期(キ)
《妻》(qi1) 妻(サイ)
《其》(qi2) 其(キ、その、それ)
《奇》(qi2) 奇(キ)
《骑》(qi2) 騎(キ)
《起》(qi3) 起(キ)
《气》(qi4) 天気の気(キ)
《汽》(qi4) 汽車(きしゃ)の汽(キ) 、「汽车(qi4 che1)」は自動車",電車,機関車,タクシー,1,
公斤,gong1 jin1,キログラム,キログラム,2,"《三四公斤》 3,4キログラム

会社は、《公司》(gong1 si1)です。

グラムは「《克》(kè)」だが、キログラムは「《公斤》(gong1 jin1)」。
さらに、「《斤》」だと「500g」の意味になる。紛らわしい。",キロメートル,会社,会社員,3,
一斤,yi4 jin1,,500g,2,体重などでよく使われる,キログラム,キロメートル,メートル,3,
